city,population
Agra,1746467
Ahmadabad,6352254
Allahabad,1216719
Amritsar,1183705
Asansol,1243008
Aurangabad,1189376
Bengaluru,8499399
Bhopal,1883381
Chandigarh,1025682
Chennai,8696010
Coimbatore,2151466
Delhi,16787941
Dhanbad,1195298
Durg-Bhilainagar,1064077
Faridabad,1404653
Ghaziabad,2358525
Gwalior,1101981
Hyderabad,7749334
Indore,2167447
Jabalpur,1267564
Jaipur,3073350
Jamshedpur,1337131
Jodhpur,1137815
Kannur,1642892
Kanpur,2920067
Kochi,2117990
Kolkata,14112536
Kollam,1110005
Kota,1001365
Kozhikode,2030519
Lucknow,2901474
Ludhiana,1613878
Madurai,1462420
Malappuram,1698645
Meerut,1424908
Greater Mumbai,18414288
Nagpur,2497777
Nashik,1562769
Patna,2046652
Pune,5049968
Raipur,1122555
Rajkot,1390933
Ranchi,1126741
Srinagar,1273312
Surat,4585367
Thiruvananthapuram,1687406
Thrissur,1854783
Tiruchirappalli,1021717
Vadodara,1817191
Varanasi,1435113
Vasai Virar City,1221233
Vijayawada,1491202
Visakhapatnam,1730320
